TimeMS_ms,PanAngle_deg,TiltAngle_deg,DistanceCM_cm,State_Code,State_Description
7433,31,105,-1.00,0,Grid Scan
7602,46,105,-1.00,0,Grid Scan
7763,61,105,12.72,0,Grid Scan
7926,76,105,10.12,0,Grid Scan
8088,91,105,9.72,0,Grid Scan
8250,106,105,9.83,0,Grid Scan
8413,121,105,10.53,0,Grid Scan
8576,136,105,13.07,0,Grid Scan
8744,151,105,-1.00,0,Grid Scan
8912,166,105,-1.00,0,Grid Scan
9077,1,115,-1.00,0,Grid Scan
9239,16,115,9.53,0,Grid Scan
9407,31,115,-1.00,0,Grid Scan
9575,46,115,-1.00,0,Grid Scan
9737,61,115,10.60,0,Grid Scan
9900,76,115,9.38,0,Grid Scan
10061,91,115,8.50,0,Grid Scan
10223,106,115,9.00,0,Grid Scan
10386,121,115,9.41,0,Grid Scan
10552,136,115,-1.00,0,Grid Scan
10718,151,115,-1.00,0,Grid Scan
10887,166,115,-1.00,0,Grid Scan
11051,1,125,-1.00,0,Grid Scan
11212,16,125,8.31,0,Grid Scan
11376,31,125,-1.00,0,Grid Scan
11539,46,125,-1.00,0,Grid Scan
11703,61,125,-1.00,0,Grid Scan
11865,76,125,8.31,0,Grid Scan
12026,91,125,8.19,0,Grid Scan
12189,106,125,7.69,0,Grid Scan
12351,121,125,14.00,0,Grid Scan
1101,1,75,13.34,0,Grid Scan
1269,16,75,-1.00,0,Grid Scan
1433,31,75,-1.00,0,Grid Scan
1604,46,75,-1.00,0,Grid Scan
1768,61,75,-1.00,0,Grid Scan
1931,76,75,14.03,0,Grid Scan
2094,91,75,12.16,0,Grid Scan
2255,106,75,12.83,0,Grid Scan
2418,121,75,14.81,0,Grid Scan
2587,136,75,-1.00,0,Grid Scan
2754,151,75,-1.00,0,Grid Scan
2924,166,75,-1.00,0,Grid Scan
3089,1,85,-1.00,0,Grid Scan
3252,16,85,12.81,0,Grid Scan
3420,31,85,-1.00,0,Grid Scan
3585,46,85,-1.00,0,Grid Scan
3746,61,85,-1.00,0,Grid Scan
3909,76,85,12.41,0,Grid Scan
4071,91,85,11.81,0,Grid Scan
4234,106,85,11.66,0,Grid Scan
4396,121,85,12.10,0,Grid Scan
4564,136,85,-1.00,0,Grid Scan
4733,151,85,-1.00,0,Grid Scan
4902,166,85,-1.00,0,Grid Scan
5067,1,95,-1.00,0,Grid Scan
5230,16,95,11.69,0,Grid Scan
5399,31,95,-1.00,0,Grid Scan
5568,46,95,-1.00,0,Grid Scan
5741,61,95,-1.00,0,Grid Scan
5904,76,95,11.71,0,Grid Scan
